					Normalized Odds Ratio	Libraries (out of 6)	Normalized Odds Ratio	Libraries (out of 3)	Normalized Odds Ratio	Libraries (out of 3)
arrS	dksA.sfsA.IGT	cis_AS_with_trans_t	IGT	-8.61			7.6	3		
yjjZ	micA	CDS	sRNA	-11.24			7.6	U		
ypdA	mcaS	CDS	sRNA	-5.48					7.6	U
insA-5.uspC.IGR	gcvB	IGR	sRNA	-17.36	7.5	U				
waaZ.waaY.IGT	arcZ	IGT	sRNA	-2.72			7.5	2		
arnD	cpxP.3UTR	CDS	3UTR	-1.68			7.5	U		
IS128.AS	arcZ	AS	sRNA	-2.29					7.5	U
nanC	cpxP.3UTR	CDS	3UTR	-3.78					7.5	U
thyA	uhpT.EST3UTR	CDS	3UTR	-7.37					7.5	1
hupB	cpxP.3UTR	CDS	3UTR	-10.65	3.7	6	6.0	3	7.5	3
ptsG	cyaR	CDS	sRNA	-10.48	7.5	6	4.0	3	5.4	3
acpP	micL	CDS	sRNA	-10.5	1.9	6	7.5	3	3.2	3
tabA	arcZ	CDS	sRNA	-5.76			7.5	1	1.1	U
ymfI.AS	cyaR	AS	sRNA	-11.9			7.5	1		
ydiK	mgrR	CDS	sRNA	-12.51	5.4	U			7.5	1
yjgA	arcZ	CDS	sRNA	-7.61			7.4	2	1.9	3
yifK	sdsR	CDS	sRNA	-8.23			7.4	1		
loiP	ryhB	CDS	sRNA	-6.86					7.4	3
lhgO	omrA	CDS	sRNA	-7.89			7.4	2		
fieF	mgrR	CDS	sRNA	-5.38	7.4	U			1.3	1
zapE	gcvB	CDS	sRNA	-9.45	5.2	2			7.3	2
clcA	arcZ	CDS	sRNA	-9.13	0.6	U	7.3	2	5.5	3
ahpF	ytfK	CDS	CDS	-8.19	1.5	U	7.3	3	1.8	2
iscS	omrB	CDS	sRNA	-11.6			0.9	U	7.3	1
ispA	uhpT.EST3UTR	CDS	3UTR	-9.32					7.3	U
plaP	cyaR	CDS	sRNA	-13.15	3.0	U			7.3	2
rfbX	micA	CDS	sRNA	-8.51			7.3	U		
gltX	cyaR	CDS	sRNA	-8.98	0.7	U	7.3	3	1.3	1
yccU	sucD.EST3UTR	CDS	3UTR	-8.49			7.2	2		
ydjM	mgrR	CDS	sRNA	-8.39	7.2	U			3.4	U
napD	sgrS	CDS	sRNA	-13.13	7.2	3				
ydhS	gcvB	CDS	sRNA	-4.18			7.2	U		
waaS	arcZ	CDS	sRNA	-5.07			7.2	1	6.0	2
bacA	sdsR	CDS	sRNA	-6.24			7.2	1		
leuT.AS	fnrS	AS	sRNA	-2.95					7.1	2
mglC	arcZ	CDS	sRNA	-2.36			7.1	1	2.8	U
G0-10700	omrB	other-ncRNA	sRNA	-7.92	7.1	2				
sstT	gcvB	CDS	sRNA	-12.68	2.9	6	7.1	3	4.9	3
fadM	fnrS	CDS	sRNA	-15.23			7.1	U		
cirA	ryhB	CDS	sRNA	-11.68					7.1	3
rfbA.rfbD.IGT	micA	IGT	sRNA	-6.01			7.1	U		
gltB	ryhB	CDS	sRNA	-7.09					7.1	1
sfsA	arcZ	CDS	sRNA	-11.3	1.0	U	7.0	2	1.3	3
yfdI	omrB	CDS	sRNA	-6.92					7.0	2
waaO	sdsR	CDS	sRNA	-6.07			7.0	U		
ydaM	omrB	CDS	sRNA	-12.49			7.0	U		
amyA	cpxP.3UTR	CDS	3UTR	-11.97	4.8	U	7.0	U		
htrL	mgrR	CDS	sRNA	-17.89	4.7	1	7.0	U	6.0	1
ucpA	uhpT.EST3UTR	CDS	3UTR	-7.5	4.2	4			7.0	2
dcuA	gadE.mdtE.IGT (gadF)	CDS	IGT	-9.11			6.9	1		
G0-10697	micL	other-ncRNA	sRNA	-5.19			6.9	1		
dgt	arcZ	CDS	sRNA	-4.99			6.9	U	6.9	U
yheT	ryhB	CDS	sRNA	-10.71					6.9	1
rbsD	ykgH.EST3UTR	CDS	3UTR	-9.22	2.2	U			6.8	3
glcD	gcvB	CDS	sRNA	-12.68			6.8	3		
csgD	omrA	CDS	sRNA	-8.4			6.8	2		
yihX	sdsR	CDS	sRNA	-8.64			6.8	2		
yqiB.AS	arcZ	AS	sRNA	-10.1					6.8	U
alaE	gadY	CDS	cis_AS_with_trans_t	-5.5			6.8	1		
ynaE	omrB	CDS	sRNA	-14.66	6.8	4	5.9	2	6.1	3
yejG	omrB	CDS	sRNA	-13.06			3.3	2	6.8	1
atpI	ybiJ.ybiC.IGR	CDS	IGR	-8.36					6.7	U
cysA	arcZ	CDS	sRNA	-7.44			6.7	2		
crcB	cyaR	CDS	sRNA	-10.98			6.7	3	2.5	1
ynfK	cyaR	CDS	sRNA	-9.28	2.9	4	5.3	3	6.7	2
cfa	oxyS	CDS	sRNA	-4.84					6.7	U
lsrR	cpxP.3UTR	CDS	3UTR	-6.17			6.7	2		
tnaC.tnaA.IGT	yfdK.yfdI.IGR	IGT	IGR	-11.13	2.1	1	6.7	U	3.1	3
cysJ	ryhB	CDS	sRNA	-9.81					6.7	U
arrS	rcsC.rcsB.IGR	cis_AS_with_trans_t	IGR	-2.21			6.7	1		
htpX	cpxP.3UTR	CDS	3UTR	-9.8	1.9	U	6.7	3	3.4	1
fumB.dcuB.IGT	ryhB	IGT	sRNA	-12.47					6.6	U
ygiM	arcZ	CDS	sRNA	-17.61	1.6	U	6.6	3	5.7	2
essD	hupB	CDS	CDS	-5.48					6.6	U
fliC	fliC.fliA.IGR	CDS	IGR	-5.17	2.3	6	6.6	2	1.8	3
ibpB	rne	CDS	CDS	-2.92	6.6	U				
yliI	micL	CDS	sRNA	-8.99			6.5	U		
serA	cpxP.3UTR	CDS	3UTR	-2.13			6.5	2		
ycgI	cpxP.3UTR	CDS	3UTR	-10.92			6.5	U		
ydeK	arcZ	CDS	sRNA	-5.25			6.5	U		
fliC	motA	CDS	CDS	-9.38	0.7	6	6.5	1	0.5	3
yidE.ibpB.IGR	fnrS	IGR	sRNA	-11.46					6.5	1
dmlR	micA	CDS	sRNA	-7.45			6.5	1	2.8	1
dinD	rprA	CDS	sRNA	-6.61			6.5	U		
fecA	G0-10699	CDS	other-ncRNA	-2.26					6.4	1
ygiQ	ryhB	CDS	sRNA	-12.3					6.4	3
brnQ	gcvB	CDS	sRNA	-6.78					6.4	1
uspA	cpxP.3UTR	CDS	3UTR	-10.06	2.5	5	6.4	3	5.5	3
rtcA	cyaR	CDS	sRNA	-6.55	6.4	U	2.4	U	1.5	U
recB	arcZ	CDS	sRNA	-6.9	6.3	U	6.4	1		
guaA.guaB.IGT	arcZ	IGT	sRNA	-5.6			6.4	1	1.9	2
feaB	cpxP.3UTR	CDS	3UTR	-13.98			6.4	U		
lacZ	arcZ	CDS	sRNA	-2.14					6.4	1
insL-1.AS	cpxP.3UTR	AS	3UTR	-10.94			6.3	1		
cobB	cpxP.3UTR	CDS	3UTR	-10.6			6.3	1		
rihA	gcvB	CDS	sRNA	-10.98	1.8	2	6.3	U	1.8	3
lrhA	uhpT	CDS	CDS	-4.6	6.3	2			5.2	2
rpoS	etk.appA.IGR	CDS	IGR	-8.47			6.3	U		
dinD	malG.3UTR	CDS	3UTR	-8.76					6.3	1
tolB	rprA	CDS	sRNA	-11.28			6.3	2		
cfa	gcvB	CDS	sRNA	-5.92	3.4	5			6.3	2
yfgM	rprA	CDS	sRNA	-12.19			6.3	1		
cysU	sdsR	CDS	sRNA	-9.9			6.3	U		
ompA	etk.appA.IGR	CDS	IGR	-8.83			6.3	3	1.9	U
dtd	omrB	CDS	sRNA	-9.46	1.8	U	6.3	2	3.5	3
ghrA	mgrR	CDS	sRNA	-2.58					6.2	U
thrA.AS	chiX	AS	sRNA	-14.74					6.2	2
yjiH	cpxP.3UTR	CDS	3UTR	-7.52			6.2	2		
oppA	cpxP.3UTR	CDS	3UTR	-3.2			6.2	3	5.8	U
ychJ	arcZ	CDS	sRNA	-4.58					6.2	1
yoaJ	cpxP.3UTR	CDS	3UTR	-8.58			6.2	2		
mepH.AS	cyaR	AS	sRNA	-3.48			6.2	U		
flhD	mcaS	CDS	sRNA	-8.66	3.4	5	3.3	2	6.2	3
ompX	cyaR	CDS	sRNA	-10.7	1.7	6	6.2	3	3.2	3
waaJ	spf	CDS	sRNA	-6.34					6.2	1
uhpT	uspD	CDS	CDS	-9.37					6.1	U
kgtP	omrA	CDS	sRNA	-5.39			6.1	2		
insH-1	insH-2.ybcQ.IGR	CDS	IGR	-7.61					6.1	U
tnaB	omrB	CDS	sRNA	-9.41	3.3	4	6.1	1	2.6	2
flhD	arcZ	CDS	sRNA	-13.88	2.2	3	5.6	3	6.1	3
preT	arcZ	CDS	sRNA	-5.02			6.1	3		
alaA.lrhA.IGR	arcZ	IGR	sRNA	-14.7	4.3	3	6.0	2	5.0	3
cycA	gcvB	CDS	sRNA	-21.35	3.5	5	6.0	3	4.9	3
truA	yjgZ.insG.IGR	CDS	IGR	-10.53			6.0	U		
gltJ	arcZ	CDS	sRNA	-2.49			6.0	1		
hinT	rybB	CDS	sRNA	-10.1			6.0	U		
yjdC	sdsR	CDS	sRNA	-2.86			6.0	1		
yhjY	rybB	CDS	sRNA	-9.39			6.0	U		
gltI	gcvB	CDS	sRNA	-13.75	3.0	6	4.2	3	6.0	3
ybhP	sroC	CDS	other-ncRNA	-2.95			6.0	3		
yciT	uhpT.EST3UTR	CDS	3UTR	-3.78					6.0	1
ysaB	micA	CDS	sRNA	-1.87			6.0	U		
emrA	arcZ	CDS	sRNA	-7.8					6.0	1
oppA	arcZ	CDS	sRNA	-8.29	1.4	U	3.6	3	5.9	3
aceF	fliC.fliA.IGR	CDS	IGR	-7.24	1.4	2	5.9	U	1.0	2
yfjU.yfjT.IGR	arcZ	IGR	sRNA	-1.7			5.9	1		
glf	oxyS	CDS	sRNA	-8.54					5.9	U
blr	arcZ	CDS	sRNA	-4.23	2.8	1	2.9	U	5.9	3
yghZ	cyaR	CDS	sRNA	-10.04	1.1	2	5.9	3	1.3	2
yaiZ	fliC.fliA.IGR	CDS	IGR	-5.93	5.8	2			3.0	2
fecA	cpxP.3UTR	CDS	3UTR	-7.96	5.8	1			3.5	1
malE	omrB	CDS	sRNA	-7.32	5.8	2	3.5	2	5.6	3
nrfD	cyaR	CDS	sRNA	-17.73	0.5	4	5.8	1		
arrS	rpoE	cis_AS_with_trans_t	CDS	-5.77			5.8	3		
mutS	sdsR	CDS	sRNA	-4.69			5.8	1		
msrA	arcZ	CDS	sRNA	-4.8	4.9	U	5.8	U	5.3	U
patD	cyaR	CDS	sRNA	-6.83			5.8	3		
dcuA	ryhB	CDS	sRNA	-10.31					5.8	3
nirD.nirC.IGT	narK.narG.IGR	IGT	IGR	-14.83	5.8	4			3.0	2
mcbR	arcZ	CDS	sRNA	-2.95			5.8	2		
purU	gcvB	CDS	sRNA	-6.67	4.5	2			5.7	1
fhuC	mcaS	CDS	sRNA	-11.14					5.7	3
sugE	ryhB	CDS	sRNA	-7.88					5.7	3
ygfZ	mgrR	CDS	sRNA	-10.96	5.7	2	1.9	3	4.9	3
glgS	ybiJ.ybiC.IGR	CDS	IGR	-11.62			5.7	U		
ydhC	cpxP.3UTR	CDS	3UTR	-2.88			5.7	U		
rfbD	cpxP.3UTR	CDS	3UTR	-4.26			5.7	1		
ilvC	gcvB	CDS	sRNA	-19.02					5.7	1
argE.ppc.IGR	arcZ	IGR	sRNA	-2.95			5.6	1		
rpiB	mgrR	CDS	sRNA	-13.89	3.4	U			5.6	1
yjjJ.AS	chiX	AS	sRNA	-9.25			2.8	U	5.6	3
fepA	ybiJ.ybiC.IGR	CDS	IGR	-9.26					5.6	U
bamA.skp.IGT	cpxP.3UTR	IGT	3UTR	-9.59	1.8	5	5.6	3	5.6	3
ycaO	fnrS	CDS	sRNA	-8.97	5.6	U				
aroC.prmB.IGT	gcvB	IGT	sRNA	-13.99	5.6	6	5.4	3	4.4	3
rsgA	arcZ	CDS	sRNA	-6.91	1.6	U	2.5	1	5.6	3
arrS	cyoA	cis_AS_with_trans_t	CDS	-2.81			5.6	1		
gpsA	arcZ	CDS	sRNA	-12.82	1.1	4	5.5	3	2.7	3
mlaF	arcZ	CDS	sRNA	-10.83	1.6	U	5.5	2	5.0	2
prlC	arcZ	CDS	sRNA	-8.71			5.5	3	1.5	1
arcA	yehA.EST3UTR	CDS	3UTR	-8.06			5.5	U		
tsx	micA	CDS	sRNA	-5.7	1.3	2	5.5	U	4.6	2
rnlA	cpxP.3UTR	CDS	3UTR	-7.86			5.5	2		
tcdA	cpxP.3UTR	CDS	3UTR	-3.36			5.5	1		
actP	micA	CDS	sRNA	-7.93			5.5	2		
gadY	pcm	cis_AS_with_trans_t	CDS	-9.54	3.1	U			5.5	U
yadH	cyaR	CDS	sRNA	-10.6			5.5	1		
dctA	omrB	CDS	sRNA	-3.24			5.5	1	4.5	U
borD	rbsB.rbsK.IGT	CDS	IGT	-14.93	3.8	3			5.5	3
mnmE	arcZ	CDS	sRNA	-7.14			5.5	2		
kptA	arcZ	CDS	sRNA	-11.38			4.7	2	5.5	1
yffS	cpxP.3UTR	CDS	3UTR	-4.27			5.4	U		
hda	omrB	CDS	sRNA	-8.33			5.4	U		
cas2	cpxP.3UTR	CDS	3UTR	-9.2			5.4	U		
hflX	cpxP.3UTR	CDS	3UTR	-8.62			5.4	3		
ybaQ	micA	CDS	sRNA	-3.82			5.4	U		
rbsD	dsrA	CDS	sRNA	-14.67	3.3	4	3.1	2	5.4	3
acpT	cpxP.3UTR	CDS	3UTR	-9.66			5.3	U		
ylaB	arcZ	CDS	sRNA	-5.61			5.3	U		
yfcA	mgrR	CDS	sRNA	-9.59					5.3	U
ychJ	gcvB	CDS	sRNA	-13.51	2.0	3			5.3	2
phoQ	arcZ	CDS	sRNA	-6.79			5.3	1		
asd.yhgN.IGR	arcZ	IGR	sRNA	-4.27			5.3	U		
dcyD	uhpT	CDS	CDS	-11.22	3.1	1			5.3	3
helD	cyaR	CDS	sRNA	-8.07	1.3	1	2.1	2	5.3	2
fliY	cpxP.3UTR	CDS	3UTR	-8.56			5.3	2		
ymbA	omrB	CDS	sRNA	-8.15					5.3	U
wbbK.insH-7.IGR	cpxP.3UTR	IGR	3UTR	-9.14			5.3	U		
leuZ.yecA.IGR	dsrA	IGR	sRNA	-14.69	5.0	U			5.3	1
yjiT	mgrR	CDS	sRNA	-11.15	5.3	U				
waaL	omrB	CDS	sRNA	-6.2					5.2	1
nanC	uhpT.EST3UTR	CDS	3UTR	-6.79	2.3	U			5.2	1
rbsB.rbsK.IGT	rybB	IGT	sRNA	-22.07	0.6	4	5.2	3	1.9	3
hisQ.hisJ.IGT	gcvB	IGT	sRNA	-14.67	0.7	U	5.2	2	2.9	3
mtr	omrA	CDS	sRNA	-12.8			5.2	2		
dppA	gcvB	CDS	sRNA	-14.82	5.2	6	3.6	3	3.6	3
mglB	fliC.fliA.IGR	CDS	IGR	-7.58	1.4	4	5.2	U	0.9	U
anmK	cpxP.3UTR	CDS	3UTR	-9.94			5.2	1		
chaB	cpxP.3UTR	CDS	3UTR	-3.7			5.2	1		
leuZ.yecA.IGR	rybB	IGR	sRNA	-6.45			5.2	U		
insCD-1	cpxP.3UTR	CDS	3UTR	-8.74			5.2	U		
wbbI	cpxP.3UTR	CDS	3UTR	-7.71			5.2	2		
ybcW.AS	arcZ	AS	sRNA	-3.6			5.2	U		
yahO	omrB	CDS	sRNA	-8.28			5.2	2		
mlaF	uhpT	CDS	CDS	-3.55					5.2	1
fiu	gcvB	CDS	sRNA	-5.51					5.1	1
waaU	uhpT.EST3UTR	CDS	3UTR	-8.78					5.1	U
hupB	glpX.3UTR	CDS	3UTR	-15.09	2.2	U	3.8	3	5.1	3
mrp	ryhB	CDS	sRNA	-3.96					5.1	3
insA-4	cyaR	CDS	sRNA	-9.17			5.1	1		
ackA.yfbV.IGR	mgrR	IGR	sRNA	-8.33			5.1	2		
preA	micA	CDS	sRNA	-2.36			5.1	1		
gadY	sdhC	cis_AS_with_trans_t	CDS	-5.56			5.1	1		
rcdA	cpxP.3UTR	CDS	3UTR	-8.03			5.1	U		
uhpT	ygaH	CDS	CDS	-11.26					5.1	U
rcsC	arcZ	CDS	sRNA	-4.2			5.1	U		
yaaX	cpxP.3UTR	CDS	3UTR	-11.98			5.1	U		
gdhA	cpxP.3UTR	CDS	3UTR	-10.45			5.1	U		
yffS	cyaR	CDS	sRNA	-7.58			5.1	1		
soxS	mgrR	CDS	sRNA	-9.19	1.6	1	5.1	3	2.3	3
dmsD	rprA	CDS	sRNA	-8.5			5.1	U		
yfhM	cpxP.3UTR	CDS	3UTR	-10.67			5.0	3		
waaL	mgrR	CDS	sRNA	-7.81					5.0	U
alaE	cpxP.3UTR	CDS	3UTR	-2.55			5.0	2		
nrdD	cpxP.3UTR	CDS	3UTR	-4.5			5.0	3		
yejG	arcZ	CDS	sRNA	-11.32	1.8	3			5.0	2
atpB	gadE.mdtE.IGT (gadF)	CDS	IGT	-4.77			5.0	1		
insH-1	nmpC	CDS	CDS	-8.04	1.6	3	5.0	2	2.7	3
frdA	ryhB	CDS	sRNA	-12.48					5.0	3
ribF	uhpT.EST3UTR	CDS	3UTR	-6.49	3.8	U			5.0	U
lrhA	malG.3UTR	CDS	3UTR	-5.94			5.0	U		
gmr	arcZ	CDS	sRNA	-6.55			5.0	3		
fliY.fliZ.IGT	micF	IGT	sRNA	-11.51			5.0	U		
slt	sdsR	CDS	sRNA	-4.72			5.0	2		
yfdK.yfdI.IGR	ryhB	IGR	sRNA	-8.09					5.0	2
waaB	cyaR	CDS	sRNA	-11.48			5.0	1		
yeaE	arcZ	CDS	sRNA	-4.37			4.9	2		
oppA	gcvB	CDS	sRNA	-8.91	3.7	6	4.9	3	4.4	3
htrL	uhpT.EST3UTR	CDS	3UTR	-10.66	4.0	U			4.9	1
ackA	sucD.EST3UTR	CDS	3UTR	-9.72			4.9	2	2.5	3
rluF	cpxP.3UTR	CDS	3UTR	-3.16			4.9	U		
ymbA	mgrR	CDS	sRNA	-10.87			4.9	1	2.7	1
waaO	ryhB	CDS	sRNA	-5.61					4.9	3
fliY	sdsR	CDS	sRNA	-9.01			4.9	2		
hupB	fbaB.gatY.IGR	CDS	IGR	-8.15			4.9	1		
iscR	oxyS	CDS	sRNA	-6.53					4.9	1
ybiJ.EST3UTR	arcZ	3UTR	sRNA	-1.17			4.9	U		
yhjA	mgrR	CDS	sRNA	-2.54	4.9	U				
ghrA	sdsR	CDS	sRNA	-4.46			4.9	U		
yahO	rprA	CDS	sRNA	-6.72			4.9	2		
ydfT	fnrS	CDS	sRNA	-9.44	4.9	U				
yqiB	ryhB	CDS	sRNA	-12.78					4.9	3
ddlA	cpxP.3UTR	CDS	3UTR	-12.81	2.0	U	4.8	2		
yfgJ.EST3UTR	cyaR	3UTR	sRNA	-5.95			4.8	2	1.9	U
uspB	arcZ	CDS	sRNA	-2.15			4.8	3	2.1	U
cstA	rprA	CDS	sRNA	-10.29			4.8	2		
fumA	ryhB	CDS	sRNA	-6.12					4.8	2
G0-10697.ychE.IGR	arcZ	IGR	sRNA	-11.17			4.8	1	1.7	U
tmcA	arcZ	CDS	sRNA	-6.34			4.6	U	4.8	U
betT	arcZ	CDS	sRNA	-8.29			4.8	2	4.1	U
ompA	xdhD	CDS	CDS	-8.93			4.8	1		
uhpT	waaA	CDS	CDS	-15.86	4.8	U				
yiaJ	cpxP.3UTR	CDS	3UTR	-5.66			4.7	U		
mqsR	rbsB.rbsK.IGT	CDS	IGT	-2.69			4.7	U		
cfa	gadE.mdtE.IGT (gadF)	CDS	IGT	-5.66			4.7	U		
cspD	yqiB	CDS	CDS	-4.89					4.7	1
gnsB	arcZ	CDS	sRNA	-5.65			4.7	3	2.7	3
cstA	omrA	CDS	sRNA	-9.66			4.7	2		
arrS	ssb	cis_AS_with_trans_t	CDS	-3.95			4.7	1		
gadB	xylB.xylA.IGT	CDS	IGT	-4.44			4.7	U		
ytfJ.ytfK.IGR	uhpT.EST3UTR	IGR	3UTR	-4.71					4.7	2
yifL.yzcX.IGR	chiX	IGR	sRNA	-4.85					4.7	3
mazG	micF	CDS	sRNA	-8.5			4.7	2		
lptF	arcZ	CDS	sRNA	-12.47	0.8	U	4.7	2	4.1	2
ompF	arcZ	CDS	sRNA	-6.52	0.9	6	4.7	2	0.8	3
msyB	omrB	CDS	sRNA	-10.17			4.7	2		
hmp	fnrS	CDS	sRNA	-12.04	2.3	1			4.6	U
serA	micL	CDS	sRNA	-8.1			4.6	U		
fliZ	oxyS	CDS	sRNA	-8.76					4.6	U
minD	mgrR	CDS	sRNA	-11.92	2.3	3	1.6	2	4.6	3
fliF	micA	CDS	sRNA	-10.81			4.6	1	1.3	2
fecA	tsx	CDS	CDS	-12.41					4.6	1
uspB	sdsR	CDS	sRNA	-9.09			4.6	2		
yjiH	omrA	CDS	sRNA	-6.98			4.6	2		
ydbH	cpxP.3UTR	CDS	3UTR	-5.32			4.6	U		
rnhA	spf	CDS	sRNA	-6.16	3.6	U			4.6	1
kdgK	sucD.EST3UTR	CDS	3UTR	-8.18					4.6	2
chbC	ryhB	CDS	sRNA	-4.08					4.6	1
ydgD	cpxP.3UTR	CDS	3UTR	-13.28			4.6	U		
yfbV	arcZ	CDS	sRNA	-6.91			4.6	2		
yabQ.rluA.IGR	gcvB	IGR	sRNA	-15.37	3.4	U			4.6	1
fliY.fliZ.IGT	gcvB	IGT	sRNA	-8.43	2.1	6	4.6	2	2.9	3
yfeS	cpxP.3UTR	CDS	3UTR	-7.57			4.6	U		
metU	metT.asnB.IGR	tRNA	IGR	-35.43	4.6	U	0.1	2	0.3	U
smpB	yqiB	CDS	CDS	-12.22					4.5	U
ompF	fadA.fre.IGR	CDS	IGR	-12.22	2.2	U			4.5	1
yfeH	cyaR	CDS	sRNA	-11.48	3.5	U			4.5	2
mscL	cyaR	CDS	sRNA	-8.43			4.5	2	4.3	U
pepA	mgrR	CDS	sRNA	-11.19			4.5	2	2.9	1
fliF	arcZ	CDS	sRNA	-8.78	0.7	1	4.5	2	2.3	3
nagE	nanT.nanA.IGT	CDS	IGT	-4.83	0.4	U			4.5	2
ryeA	bhsA.EST3UTR	other-ncRNA	3UTR	-5.12			4.5	U		
glmU	glmZ.hemY.IGR	CDS	IGR	-7.8			2.7	1	4.5	U
yjiH	gcvB	CDS	sRNA	-4.71			4.5	2		
yadD	arcZ	CDS	sRNA	-9.21			3.6	U	4.5	1
ompT	arcZ	CDS	sRNA	-10.77	0.3	U	4.5	2	0.6	3
tolB	micA	CDS	sRNA	-6.59	3.1	6	4.4	3	4.4	3
zapC	mgrR	CDS	sRNA	-6.04	4.4	U			1.4	U
yhaV	cpxP.3UTR	CDS	3UTR	-11.24			4.4	3		
helD	arcZ	CDS	sRNA	-13.97	1.5	U	4.4	2	2.3	U
ynfK	arcZ	CDS	sRNA	-8.56			4.4	3	1.8	2
rcnB	omrA	CDS	sRNA	-8.85			4.4	U	2.8	1
cydA	cpxP.3UTR	CDS	3UTR	-10.76			4.4	3		
mcaS	omrB	sRNA	sRNA	-4.5			4.4	3	2.0	1
cas3	ryhB	CDS	sRNA	-9.66					4.4	U
ynfF	mgrR	CDS	sRNA	-8.95			4.4	1		
aphA	arcZ	CDS	sRNA	-4.48			4.4	2	0.9	1
insH-1	motA	CDS	CDS	-17.35					4.4	U
C0719.AS	arcZ	AS	sRNA	-1.44			4.4	U		
yddB	uhpT.EST3UTR	CDS	3UTR	-8.15					4.4	1
ypfM	rprA	CDS	sRNA	-5.14			4.3	U	3.2	1
napF	ryhB	CDS	sRNA	-6.93					4.3	2
murF	oxyS	CDS	sRNA	-10.83					4.3	U
kdsC	arcZ	CDS	sRNA	-6.19	2.6	1	4.3	2	4.2	2
proS	micA	CDS	sRNA	-2.89			4.3	1		
erpA	ryhB	CDS	sRNA	-8.94					4.3	3
motA	rpsJ	CDS	CDS	-12.13	4.3	5			2.3	3
lamB	rprA	CDS	sRNA	-4.25					4.3	U
fhuA	oxyS	CDS	sRNA	-4.78					4.3	U
serA	gcvB	CDS	sRNA	-16.72	3.3	6	3.5	2	4.3	3
yihY	uhpT.EST3UTR	CDS	3UTR	-6.23					4.3	1
mscK	cyaR	CDS	sRNA	-4.98			2.0	U	4.3	U
tcdA	cyaR	CDS	sRNA	-10.76	1.6	4	3.9	3	4.3	3
ymfK	cpxP.3UTR	CDS	3UTR	-9.99			4.3	1		
dcuA	sdsR	CDS	sRNA	-3.52			4.3	1		
pheA	rydC	CDS	sRNA	-7.19			4.2	U		
mcrB	gcvB	CDS	sRNA	-21.35	2.7	1			4.2	1
ygdQ	cyaR	CDS	sRNA	-11.43	3.5	1	4.2	2	3.1	2
aspA	ryhB	CDS	sRNA	-9.89	0.7	U	4.2	U	3.9	3
oppA	uhpT.EST3UTR	CDS	3UTR	-5.48					4.2	1
ydiZ	cpxP.3UTR	CDS	3UTR	-6.47			4.2	1		
fepA	micF	CDS	sRNA	-8.7					4.2	2
glf	mgrR	CDS	sRNA	-7.87	3.4	U			4.2	1
zwf	cyaR	CDS	sRNA	-9.91			4.2	2	2.0	1
lldP	gcvB	CDS	sRNA	-5.28					4.1	2
hrpA	sdsR	CDS	sRNA	-11.54			4.1	U		
flgN	uhpT.EST3UTR	CDS	3UTR	-3.06					4.1	2
ybiV.ybiW.IGR	cyaR	IGR	sRNA	-3.09			4.1	1		
cysJ	gcvB	CDS	sRNA	-10.06			4.1	U		
yehA.EST3UTR	ryhB	3UTR	sRNA	-7.47					4.1	2
mrr	cpxP.3UTR	CDS	3UTR	-8.37			4.1	U		
ydcD	gcvB	CDS	sRNA	-3.97					4.1	U
metI	mgrR	CDS	sRNA	-17.89			4.1	U	2.5	1
ddlB	sdsR	CDS	sRNA	-8			4.1	U		
ompA	ruvA	CDS	CDS	-2.42			4.1	1	3.0	1
yehU	cyaR	CDS	sRNA	-8.38	1.1	U			4.1	1
gyrA	omrB	CDS	sRNA	-14.58	2.0	U	4.1	U	3.5	2
lrp	omrA	CDS	sRNA	-9			4.1	2		
waaS	micA	CDS	sRNA	-4.23					4.1	1
arrS	glpT	cis_AS_with_trans_t	CDS	-2.34			4.1	2		
cobC.rsfS.IGR	cyaR	IGR	sRNA	-6.65	3.2	1	4.0	U	4.0	1
secM	malG.3UTR	CDS	3UTR	0.32					4.0	U
nanC	mgrR	CDS	sRNA	-8.41					4.0	2
ppk	omrB	CDS	sRNA	-10.12					4.0	U
kgtP	rprA	CDS	sRNA	-7.69			4.0	1		
yaeP	arcZ	CDS	sRNA	-10.4	1.0	2	4.0	2	2.1	3
ubiA	sdsR	CDS	sRNA	-4.31			4.0	U		
gltP	gcvB	CDS	sRNA	-10.39	2.1	U			4.0	1
lptA	ybiJ.ybiC.IGR	CDS	IGR	-11.3					4.0	U
alr	cyaR	CDS	sRNA	-12.05	0.6	U	4.0	2	1.1	1
yghD.yghF.IGR	sucD.EST3UTR	IGR	3UTR	-8.51	2.1	U			4.0	2
uspB	rprA	CDS	sRNA	-6.67			4.0	1		
rpoS.nlpD.IGT	sdsR	IGT	sRNA	-7			4.0	3		
cysB	micA	CDS	sRNA	-8.29			3.1	3	4.0	2
yqjA	mgrR	CDS	sRNA	-10.36	3.7	U	4.0	1	3.5	1
fliZ	rprA	CDS	sRNA	-11.28	2.5	U			4.0	U
tig	mgrR	CDS	sRNA	-9.47	3.7	5			3.9	3
rfbX	uhpT.EST3UTR	CDS	3UTR	-4.64					3.9	U
ygaM.EST3UTR	micA	3UTR	sRNA	-17			3.9	1		
eptB	ypfM	CDS	CDS	-7.08					3.9	1
hdeD	cyaR	CDS	sRNA	-10.39			3.9	3		
lysC	cyaR	CDS	sRNA	-10.19	3.9	U			1.9	1
dnaA	motA	CDS	CDS	-8.6	3.9	U				
